+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[989]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[985]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[972]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[995]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[987]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[998]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[990]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[991]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[965]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[994]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[967]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[970]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[992]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[989]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[996]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[988]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[985]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[968]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[981]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[991]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[983]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[994]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[987]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[986]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[961]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[990]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[963]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[966]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[988]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[985]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[992]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[1].fifo_sample_inst/size_reg[981]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[984]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[2].fifo_sample_inst/size_reg[964]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[987]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[977]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[979]/D|
|              sys_clk_pin |              sys_clk_pin |                                        phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[990]/D|
