+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[1014]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[1012]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1009]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1006]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1011]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1004]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[1005]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1014]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[1007]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1012]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[1010]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[1008]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1003]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1005]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1007]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1010]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1008]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[1006]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[1004]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1002]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1001]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1006]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1004]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[1003]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[3].fifo_sample_inst/size_reg[1000]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[0].fifo_sample_inst/size_reg[1003]/D|
|                      clk |                      clk |                                       phantum_DUT/GEN_RO_COUNTER_FSM[4].fifo_sample_inst/size_reg[1002]/D|
